label,eta
optimal_cond_unavoid,0.1233224005086264
optimal_ihx_cond,0.2029941320046598
optimal_exp_cond,0.1895856441395882
optimal_cond,0.2041444319130761
optimal_pump_cond,0.2031471099639724
optimal_ihx_exp,0.2099501400531314
optimal_pump_ihx,0.2254155596651787
optimal_ihx,0.2264597398915192
optimal_pump,0.2259761646851768
optimal_all_ideal,0.2269966217887897
optimal_pump_exp,0.2095275614195717
optimal_exp,0.2105464565003992
optimal_all_real,0.1125480065121589
optimal_eva_cond,0.1283788081615987
optimal_eva_ihx,0.1447358917454333
optimal_pump_unavoid,0.1131547494898531
optimal_eva,0.1476308446496392
optimal_eva_exp,0.1339470314658308
optimal_pump_eva,0.1467701348244477
optimal_eva_unavoid,0.1211888456115848
optimal_ihx_unavoid,0.1137011478609795
optimal_exp_unavoid,0.1187823021063255
optimal_cond_unavoid,0.1233224005086264
optimal_ihx_cond,0.2029941320046598
optimal_exp_cond,0.1895856441395882
optimal_cond,0.2041444319130761
optimal_pump_cond,0.2031471099639724
optimal_ihx_exp,0.2099501400531314
optimal_pump_ihx,0.2254155596651787
optimal_ihx,0.2264597398915192
optimal_pump,0.2259761646851768
optimal_all_ideal,0.2269966217887897
optimal_exp,0.2105464565003992
optimal_pump_exp,0.2095275614195717
optimal_all_real,0.1125480065121589
optimal_eva_cond,0.128378808159743
optimal_eva_ihx,0.1447358917454333
optimal_pump_unavoid,0.1131547494898531
optimal_eva_unavoid,0.1211888456115848
optimal_pump_eva,0.1467701348244477
optimal_eva,0.1476308446496392
optimal_eva_exp,0.1339470314658308
optimal_ihx_unavoid,0.1137011478609795
optimal_exp_unavoid,0.1187823021063255
optimal_cond_unavoid,0.1233224005086264
optimal_ihx_cond,0.2029941320046598
optimal_exp_cond,0.1895856441244635
optimal_pump_cond,0.2031471099120093
optimal_cond,0.2041444318348733
optimal_ihx_exp,0.2099501400531314
optimal_pump_ihx,0.2254155596651787
optimal_ihx,0.2264597398915192
optimal_pump,0.2259761646851768
optimal_all_ideal,0.2269966217887897
optimal_pump_exp,0.2095275614195717
optimal_exp,0.2105464565003992
optimal_all_real,0.1125480065121589
optimal_eva_cond,0.128378808159743
optimal_eva_ihx,0.1447358917454333
optimal_pump_unavoid,0.1131547494898531
optimal_eva_unavoid,0.1211888456115848
optimal_eva,0.1476308446496392
optimal_pump_eva,0.1467701348244477
optimal_eva_exp,0.1339470314658308
optimal_ihx_unavoid,0.1137011478609795
optimal_exp_unavoid,0.1187823021063255
optimal_cond_unavoid,0.1233224005086264
optimal_ihx_cond,0.2029941320046598
optimal_exp_cond,0.1895856441244635
optimal_pump_cond,0.2031471099120093
optimal_cond,0.2041444318348733
optimal_ihx_exp,0.2099501400531314
optimal_pump_ihx,0.2254155596651787
optimal_ihx,0.2264597398915192
optimal_all_ideal,0.2269966217887897
optimal_exp,0.2105464565003992
optimal_pump_exp,0.2095275614195717
optimal_pump,0.2259761646851768
optimal_all_real,0.1125480065121589
optimal_eva_cond,0.128378808159743
optimal_eva_ihx,0.1447358917454333
optimal_pump_unavoid,0.1131547494898531
optimal_eva,0.1476308446496392
optimal_pump_eva,0.1467701348244477
optimal_eva_unavoid,0.1211888456115848
optimal_eva_exp,0.1339470314658308
optimal_ihx_unavoid,0.1137011478609795
optimal_exp_unavoid,0.1187823021063255
optimal_cond_unavoid,0.1233224005086264
optimal_ihx_cond,0.2029941320046598
optimal_exp_cond,0.1895856441244635
optimal_cond,0.2041444318348733
optimal_pump_cond,0.2031471099120093
optimal_ihx_exp,0.2099501400531314
optimal_pump_ihx,0.2254155596651787
optimal_ihx,0.2264597398915192
optimal_all_ideal,0.2269966217887897
optimal_pump_exp,0.2095275614195717
optimal_exp,0.2105464565003992
optimal_pump,0.2259761646851768
